model_name,feature,source,available_for_live_paper,uses_label_market_bucket
market_nw_kill_momentum_logistic,logit_market_price,derived_side_features,True,False
market_nw_kill_momentum_logistic,book_spread,raw_live_side_snapshot,True,False
market_nw_kill_momentum_logistic,book_ask_size_log,derived_side_features,True,False
market_nw_kill_momentum_logistic,book_age_s,derived_side_features,True,False
market_nw_kill_momentum_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_nw_kill_momentum_logistic,side_mom_100,derived_side_features,True,False
market_nw_kill_momentum_logistic,side_mom_300,derived_side_features,True,False
market_nw_kill_momentum_logistic,side_kill_mom,derived_side_features,True,False
market_momentum_logistic,logit_market_price,derived_side_features,True,False
market_momentum_logistic,book_spread,raw_live_side_snapshot,True,False
market_momentum_logistic,book_ask_size_log,derived_side_features,True,False
market_momentum_logistic,book_age_s,derived_side_features,True,False
market_momentum_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_momentum_logistic,side_mom_100,derived_side_features,True,False
market_momentum_logistic,side_mom_300,derived_side_features,True,False
market_gettoplive_logistic,logit_market_price,derived_side_features,True,False
market_gettoplive_logistic,book_spread,raw_live_side_snapshot,True,False
market_gettoplive_logistic,book_ask_size_log,derived_side_features,True,False
market_gettoplive_logistic,book_age_s,derived_side_features,True,False
market_gettoplive_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_gettoplive_logistic,side_nw,derived_side_features,True,False
market_gettoplive_logistic,side_mom_100,derived_side_features,True,False
market_gettoplive_logistic,side_mom_300,derived_side_features,True,False
market_gettoplive_logistic,side_score,derived_side_features,True,False
market_gettoplive_logistic,total_kills,derived_side_features,True,False
market_gettoplive_logistic,side_tower,derived_side_features,True,False
market_gettoplive_logistic,side_rax,derived_side_features,True,False
market_gettoplive_logistic,structure_score,derived_side_features,True,False
market_nw_logistic,logit_market_price,derived_side_features,True,False
market_nw_logistic,book_spread,raw_live_side_snapshot,True,False
market_nw_logistic,book_ask_size_log,derived_side_features,True,False
market_nw_logistic,book_age_s,derived_side_features,True,False
market_nw_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_nw_logistic,side_nw,derived_side_features,True,False
market_score_logistic,logit_market_price,derived_side_features,True,False
market_score_logistic,book_spread,raw_live_side_snapshot,True,False
market_score_logistic,book_ask_size_log,derived_side_features,True,False
market_score_logistic,book_age_s,derived_side_features,True,False
market_score_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_score_logistic,side_score,derived_side_features,True,False
market_score_logistic,total_kills,derived_side_features,True,False
market_transition_kill_logistic,logit_market_price,derived_side_features,True,False
market_transition_kill_logistic,book_spread,raw_live_side_snapshot,True,False
market_transition_kill_logistic,book_ask_size_log,derived_side_features,True,False
market_transition_kill_logistic,book_age_s,derived_side_features,True,False
market_transition_kill_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_transition_kill_logistic,side_transition_kill_delta,derived_transition_features,True,False
market_transition_kill_logistic,side_transition_score_delta,derived_transition_features,True,False
market_transition_kill_logistic,side_transition_kill_per_sec,derived_transition_features,True,False
market_transition_kill_logistic,transition_dt_sec,derived_transition_features,True,False
market_transition_kill_logistic,score_changed_without_nw,derived_transition_features,True,False
market_transition_kill_logistic,score_nw_changed_together,derived_transition_features,True,False
market_transition_kill_logistic,score_leads_nw_sec,derived_transition_features,True,False
market_transition_kill_logistic,score_nw_lag_type,derived_transition_features,True,False
market_transition_kill_logistic,transition_signal_type,derived_transition_features,True,False
market_kill_momentum_logistic,logit_market_price,derived_side_features,True,False
market_kill_momentum_logistic,book_spread,raw_live_side_snapshot,True,False
market_kill_momentum_logistic,book_ask_size_log,derived_side_features,True,False
market_kill_momentum_logistic,book_age_s,derived_side_features,True,False
market_kill_momentum_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_kill_momentum_logistic,side_kill_mom,derived_side_features,True,False
market_transition_nw_kill_logistic,logit_market_price,derived_side_features,True,False
market_transition_nw_kill_logistic,book_spread,raw_live_side_snapshot,True,False
market_transition_nw_kill_logistic,book_ask_size_log,derived_side_features,True,False
market_transition_nw_kill_logistic,book_age_s,derived_side_features,True,False
market_transition_nw_kill_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_transition_nw_kill_logistic,nw_changed_without_score,derived_transition_features,True,False
market_transition_nw_kill_logistic,nw_leads_score_sec,derived_transition_features,True,False
market_transition_nw_kill_logistic,score_changed_without_nw,derived_transition_features,True,False
market_transition_nw_kill_logistic,score_leads_nw_sec,derived_transition_features,True,False
market_transition_nw_kill_logistic,score_nw_changed_together,derived_transition_features,True,False
market_transition_nw_kill_logistic,side_transition_kill_delta,derived_transition_features,True,False
market_transition_nw_kill_logistic,side_transition_kill_per_sec,derived_transition_features,True,False
market_transition_nw_kill_logistic,side_transition_nw_delta,derived_transition_features,True,False
market_transition_nw_kill_logistic,side_transition_nw_per_sec,derived_transition_features,True,False
market_transition_nw_kill_logistic,side_transition_score_delta,derived_transition_features,True,False
market_transition_nw_kill_logistic,transition_dt_sec,derived_transition_features,True,False
market_transition_nw_kill_logistic,score_nw_lag_type,derived_transition_features,True,False
market_transition_nw_kill_logistic,transition_signal_type,derived_transition_features,True,False
market_transition_catchup_logistic,logit_market_price,derived_side_features,True,False
market_transition_catchup_logistic,book_spread,raw_live_side_snapshot,True,False
market_transition_catchup_logistic,book_ask_size_log,derived_side_features,True,False
market_transition_catchup_logistic,book_age_s,derived_side_features,True,False
market_transition_catchup_logistic,game_time_sec,raw_live_side_snapshot,True,False
market_transition_catchup_logistic,score_changed_without_nw,derived_transition_features,True,False
market_transition_catchup_logistic,nw_changed_without_score,derived_transition_features,True,False
market_transition_catchup_logistic,score_nw_changed_together,derived_transition_features,True,False
market_transition_catchup_logistic,score_leads_nw_sec,derived_transition_features,True,False
market_transition_catchup_logistic,nw_leads_score_sec,derived_transition_features,True,False
market_transition_catchup_logistic,side_transition_nw_delta,derived_transition_features,True,False
market_transition_catchup_logistic,side_transition_kill_delta,derived_transition_features,True,False
market_transition_catchup_logistic,side_transition_nw_per_sec,derived_transition_features,True,False
market_transition_catchup_logistic,side_transition_kill_per_sec,derived_transition_features,True,False
market_transition_catchup_logistic,score_nw_lag_type,derived_transition_features,True,False
market_transition_catchup_logistic,transition_signal_type,derived_transition_features,True,False
