stage,model_name,unified_trades,unified_matches,canonical_exposures,unified_win_rate,unified_pnl,unified_pnl_slip_1c,unified_pnl_slip_2c,provenance_map_winner_trades,provenance_map_winner_pnl_1c,provenance_map_winner_win_rate,provenance_match_winner_game3_proxy_trades,provenance_match_winner_game3_proxy_pnl_1c,provenance_match_winner_game3_proxy_win_rate
lockbox,market_momentum_logistic__with_bucket,14,12,14,0.7142857142857143,3.4500000000000006,3.3099999999999996,3.17,11,2.59,0.7272727272727273,3.0,0.72,0.6666666666666666
lockbox,market_gettoplive_logistic,11,11,11,0.8181818181818182,3.0100000000000002,2.8999999999999995,2.79,8,2.29,0.875,3.0,0.61,0.6666666666666666
lockbox,market_gettoplive_logistic__with_bucket,11,11,11,0.8181818181818182,2.93,2.8200000000000003,2.71,8,2.21,0.875,3.0,0.61,0.6666666666666666
lockbox,market_nw_logistic,11,11,11,0.8181818181818182,2.82,2.71,2.5999999999999996,8,2.12,0.875,3.0,0.5899999999999999,0.6666666666666666
lockbox,market_nw_kill_momentum_logistic__with_bucket,9,8,9,0.7777777777777778,2.79,2.7,2.61,6,2.09,0.8333333333333334,3.0,0.61,0.6666666666666666
lockbox,market_transition_nw_kill_logistic__with_bucket,20,14,20,0.65,2.6200000000000006,2.42,2.2199999999999998,13,3.26,0.7692307692307693,7.0,-0.8400000000000001,0.42857142857142855
lockbox,market_momentum_logistic,8,7,8,0.75,2.4000000000000004,2.3200000000000003,2.24,5,1.71,0.8,3.0,0.61,0.6666666666666666
lockbox,market_transition_catchup_logistic,14,11,14,0.7142857142857143,2.2500000000000004,2.1100000000000003,1.9700000000000002,12,3.1400000000000006,0.8333333333333334,2.0,-1.03,0.0
lockbox,market_transition_nw_logistic,14,11,14,0.7142857142857143,2.2,2.0599999999999996,1.92,12,3.09,0.8333333333333334,2.0,-1.03,0.0
lockbox,market_nw_logistic__with_bucket,11,10,11,0.6363636363636364,1.7699999999999996,1.6599999999999997,1.5499999999999994,6,1.38,0.8333333333333334,5.0,0.2800000000000001,0.4
lockbox,market_transition_catchup_logistic__with_bucket,19,13,19,0.631578947368421,1.8000000000000005,1.61,1.42,12,2.45,0.75,7.0,-0.8400000000000001,0.42857142857142855
lockbox,market_nw_kill_momentum_logistic,17,12,17,0.5882352941176471,1.7100000000000004,1.54,1.37,16,1.38,0.5625,1.0,0.16000000000000003,1.0
lockbox,market_transition_nw_logistic__with_bucket,13,11,13,0.6923076923076923,1.5900000000000003,1.46,1.33,10,2.2,0.8,3.0,-0.7400000000000001,0.3333333333333333
lockbox,market_score_logistic,20,16,20,0.5,1.2600000000000002,1.06,0.8599999999999999,18,1.1099999999999999,0.5,2.0,-0.04999999999999999,0.5
lockbox,market_transition_nw_kill_logistic,22,14,22,0.5454545454545454,1.25,1.0299999999999998,0.8099999999999997,19,1.79,0.5789473684210527,3.0,-0.7599999999999999,0.3333333333333333
lockbox,market_structure_logistic,2,2,2,1.0,1.03,1.01,0.99,2,1.01,1.0,,,
lockbox,market_score_logistic__with_bucket,14,10,14,0.5,0.72,0.5799999999999998,0.4399999999999998,7,0.8499999999999999,0.5714285714285714,7.0,-0.27,0.42857142857142855
lockbox,market_transition_kill_logistic__with_bucket,17,10,17,0.5294117647058824,0.7300000000000002,0.56,0.38999999999999996,10,1.4100000000000001,0.6,7.0,-0.8500000000000001,0.42857142857142855
lockbox,market_structure_logistic__with_bucket,7,5,7,0.5714285714285714,0.5700000000000001,0.49999999999999994,0.42999999999999994,4,0.74,0.75,3.0,-0.24000000000000016,0.3333333333333333
lockbox,market_kill_momentum_logistic__with_bucket,8,5,8,0.5,0.5600000000000002,0.4800000000000001,0.4,1,0.8,1.0,7.0,-0.31999999999999995,0.42857142857142855
lockbox,market_transition_kill_logistic,19,14,19,0.42105263157894735,0.5200000000000001,0.32999999999999996,0.1399999999999998,18,0.4,0.4444444444444444,1.0,-0.06999999999999999,0.0
lockbox,market_kill_momentum_logistic,6,6,6,0.3333333333333333,0.2899999999999999,0.22999999999999987,0.16999999999999996,5,-0.43000000000000005,0.2,1.0,0.6599999999999999,1.0
walk_forward,market_nw_kill_momentum_logistic,19,16,19,0.7368421052631579,5.199999999999999,5.01,4.819999999999999,17,4.6000000000000005,0.7647058823529411,2.0,0.41000000000000003,0.5
walk_forward,market_nw_kill_momentum_logistic__with_bucket,20,16,20,0.7,4.66,4.460000000000001,4.259999999999999,17,4.430000000000001,0.7647058823529411,3.0,0.02999999999999997,0.3333333333333333
walk_forward,market_momentum_logistic,24,18,24,0.6666666666666666,4.640000000000001,4.3999999999999995,4.159999999999999,21,4.5,0.7142857142857143,3.0,-0.09999999999999998,0.3333333333333333
walk_forward,market_momentum_logistic__with_bucket,25,19,25,0.64,3.3,3.05,2.8,22,3.3499999999999996,0.6818181818181818,3.0,-0.29999999999999993,0.3333333333333333
walk_forward,market_gettoplive_logistic__with_bucket,20,16,20,0.7,2.48,2.28,2.079999999999999,17,1.5099999999999998,0.7058823529411765,3.0,0.77,0.6666666666666666
walk_forward,market_gettoplive_logistic,20,16,20,0.7,2.47,2.2699999999999996,2.07,17,1.4599999999999995,0.7058823529411765,3.0,0.81,0.6666666666666666
walk_forward,market_nw_logistic__with_bucket,22,18,22,0.6363636363636364,2.0500000000000003,1.83,1.6100000000000003,19,0.8599999999999997,0.631578947368421,3.0,0.97,0.6666666666666666
walk_forward,market_transition_nw_kill_logistic__with_bucket,36,24,36,0.5833333333333334,2.1,1.7399999999999995,1.38,32,1.6599999999999997,0.59375,4.0,0.08000000000000002,0.5
walk_forward,market_transition_catchup_logistic__with_bucket,32,21,32,0.59375,1.6899999999999997,1.3699999999999994,1.0499999999999994,28,1.3199999999999996,0.6071428571428571,4.0,0.050000000000000044,0.5
walk_forward,market_nw_logistic,18,16,18,0.6666666666666666,1.2300000000000004,1.0499999999999998,0.8699999999999998,16,0.3799999999999998,0.6875,2.0,0.67,0.5
walk_forward,market_score_logistic,28,21,28,0.5714285714285714,1.0899999999999994,0.8099999999999995,0.5299999999999997,27,0.1599999999999997,0.5555555555555556,1.0,0.6499999999999999,1.0
walk_forward,market_transition_kill_logistic,25,16,25,0.52,1.0400000000000003,0.7900000000000001,0.54,20,0.6,0.5,5.0,0.19000000000000017,0.6
walk_forward,market_kill_momentum_logistic,25,18,25,0.56,0.9499999999999997,0.6999999999999996,0.4499999999999994,23,0.8899999999999996,0.6086956521739131,2.0,-0.19,0.0
walk_forward,market_score_logistic__with_bucket,27,21,27,0.5555555555555556,0.7799999999999995,0.5099999999999995,0.23999999999999944,26,0.5899999999999995,0.5769230769230769,1.0,-0.08,0.0
walk_forward,market_transition_nw_logistic__with_bucket,29,21,29,0.5862068965517241,0.7799999999999998,0.48999999999999977,0.19999999999999937,25,0.06999999999999967,0.6,4.0,0.42,0.5
walk_forward,market_transition_kill_logistic__with_bucket,24,16,24,0.5,0.3499999999999999,0.10999999999999993,-0.13000000000000023,20,0.19999999999999984,0.5,4.0,-0.08999999999999997,0.5
walk_forward,market_transition_nw_logistic,30,20,30,0.5333333333333333,0.4099999999999999,0.10999999999999965,-0.1900000000000004,27,0.3999999999999998,0.5555555555555556,3.0,-0.29000000000000004,0.3333333333333333
walk_forward,market_kill_momentum_logistic__with_bucket,22,17,22,0.5454545454545454,0.029999999999999694,-0.1900000000000004,-0.4100000000000005,19,0.4499999999999996,0.631578947368421,3.0,-0.64,0.0
walk_forward,market_only_logistic__with_bucket,7,6,7,0.7142857142857143,-0.37,-0.44000000000000006,-0.5100000000000001,6,-0.030000000000000027,0.8333333333333334,1.0,-0.41000000000000003,0.0
walk_forward,market_transition_nw_kill_logistic,28,19,28,0.4642857142857143,-0.19000000000000017,-0.4700000000000002,-0.7500000000000006,22,-0.5300000000000002,0.45454545454545453,6.0,0.06000000000000005,0.5
walk_forward,market_only_logistic,8,6,8,0.625,-0.44999999999999984,-0.5299999999999999,-0.61,8,-0.5299999999999999,0.625,,,
walk_forward,market_transition_catchup_logistic,28,18,28,0.5,-0.27000000000000024,-0.5500000000000005,-0.8300000000000006,22,-0.6100000000000005,0.5,6.0,0.06000000000000005,0.5
walk_forward,market_structure_logistic,10,10,10,0.6,-1.06,-1.1600000000000001,-1.2600000000000002,8,-1.38,0.625,2.0,0.22,0.5
walk_forward,market_structure_logistic__with_bucket,12,11,12,0.5,-1.54,-1.6600000000000001,-1.7799999999999998,8,-1.3000000000000003,0.625,4.0,-0.3600000000000001,0.25
